ID,Kael,angularity,surface_roughness,asymmetricity1,asymmetricity2,polygonality,area,perimeter,elongation,bulkiness,surface,circularity,sphericity
9_Drawing of 15_particle_1,0.923959996,2.434150342,0.115051442,1.142098287,56.56720786,2.828427125,11972,572,1.066054797,1.311541518,2.174780776,0.678097678,0.803234478
9_Drawing of 15_particle_2,0.84014727,1.677652571,0.140371278,0.856136044,59.9046961,3.464101615,12173,510,1.154487505,1.355858474,1.700328625,0.766890869,0.813226892
9_Drawing of 15_particle_3,0.643627925,2.432715857,0.100286225,0.814036056,72.04059125,4.0,11953,546,1.82338213,1.324348147,1.984716599,0.709824114,0.695848123
9_Drawing of 15_particle_4,0.511129942,2.281132567,0.137048524,2.034296141,49.88862655,4.242640687,12034,626,2.080239166,1.451769,2.591366232,0.621205944,0.637630437
9_Drawing of 15_particle_5,0.906990833,2.530935206,0.070753476,0.800404891,273.1999654,4.898979486,11989,552,1.120907057,1.297395866,2.022485102,0.703165144,0.827717178
9_Drawing of 15_particle_6,0.764807133,1.746370781,0.165069007,0.630632526,48.12331426,3.0,12056,544,1.371681416,1.452803583,1.953370821,0.715496728,0.744223609
9_Drawing of 16_particle_1,0.774689209,2.390901601,0.168616266,0.643243982,41.9112363,3.0,12375,588,1.279569456,1.403666308,2.223307743,0.670656611,0.752696328
9_Drawing of 16_particle_2,0.665789865,1.842887311,0.172308064,1.41588685,114.1883925,4.0,12336,566,1.626409205,1.513221929,2.066562944,0.6956258,0.685555166
9_Drawing of 16_particle_3,0.491597511,1.624428337,0.112477046,0.823983445,25.11087915,4.0,12457,570,2.252607311,1.346226591,2.07551742,0.694123597,0.585565422
9_Drawing of 16_particle_4,0.534917226,1.636750746,0.139811465,1.755920055,72.76136823,3.464101615,12509,588,2.068367082,1.400466899,2.199491032,0.674277864,0.643098639
9_Drawing of 17_particle_1,0.668244962,1.977094163,0.110150206,2.047024169,40.11983683,3.464101615,12438,578,1.723151081,1.29384781,2.137446535,0.683994122,0.722693513
